Order,Family,Genus,Species,SVLMMx,SVLFMx,SVLMx,Longevity,NestingSite,ClutchMin,ClutchMax,Clutch,ParityMode,EggDiameter,Activity,Microhabitat,GeographicRegion,IUCN,PopTrend,RangeSize,ElevationMin,ElevationMax,Elevation
Anura,Aromobatidae,Aromobates,duranti,,,30.7,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,CR,Decreasing,209.0445283200000000,2600,3000,2800
Anura,Aromobatidae,Aromobates,ericksonae,24.4,25.7,25.7,,,,,,,,Diurnal,Terrestrial,South America,EN,Decreasing,,676,1193,934.5
Anura,Aromobatidae,Aromobates,haydeeae,,,,,Terrestrial,,,,Larval,,,Semi-aquatic,South America,CR,Decreasing,280.3175890620000000,1825,2670,2247.5
Anura,Aromobatidae,Aromobates,leopardalis,,,,,,,,,Larval,,Diurnal,Semi-aquatic,South America,CR,Decreasing,34.3585873618000000,2400,3300,2850
Anura,Aromobatidae,Aromobates,mayorgai,,,25.7,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,EN,Decreasing,367.4357771490000000,793,2400,1596.5
Anura,Aromobatidae,Aromobates,meridensis,,,32.7,,Terrestrial,,,,Larval,,,Semi-aquatic,South America,CR,Decreasing,186.0850640520000000,1800,3300,2550
Anura,Aromobatidae,Aromobates,molinarii,,,30.3,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,CR,Decreasing,477.2148211540000000,1800,2600,2200
Anura,Aromobatidae,Aromobates,nocturnus,52.3,64,64,,,,,,Larval,,Nocturnal,Aquatic,South America,CR,Decreasing,169.2219837140000000,2250,2250,2250
Anura,Aromobatidae,Aromobates,ornatissimus,,,,,,,,,,,,,South America,EN,,,2350,2350,2350
Anura,Aromobatidae,Aromobates,orostoma,,,,,Terrestrial,,,,Larval,,,Semi-aquatic,South America,CR,Decreasing,105.5461801160000000,2300,2800,2550
Anura,Aromobatidae,Aromobates,saltuensis,23.1,26.9,26.9,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,EN,Decreasing,318.3592718690000000,482,1500,991
Anura,Aromobatidae,Aromobates,serranus,,,28.6,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,CR,Decreasing,100.3635447620000000,1800,2300,2050
Anura,Aromobatidae,Aromobates,tokuko,23.2,29.2,29.2,,,,,,,,,,South America,VU,Stable,,419,1005,712
Anura,Aromobatidae,Aromobates,walterarpi,,,,,,,,,,,,,South America,CR,Decreasing,,2325,2325,2325
Anura,Aromobatidae,Aromobates,zippeli,21.5,25,25,,,,,,,,,Terrestrial,South America,CR,Decreasing,,2970,2970,2970
Anura,Aromobatidae,Ectopoglossus,astralogaster,,22.2,22.2,,,,,,,,,,South America,DD,,,700,900,800
Anura,Aromobatidae,Ectopoglossus,atopoglossus,20.7,25.2,25.2,,,,,,Larval,,Cathemeral,Semi-aquatic,South America,CR,Decreasing,11.4531560128000000,1800,2260,2030
Anura,Aromobatidae,Ectopoglossus,confusus,22.1,26,26,,,,,,,,Diurnal,Semi-aquatic,South America,EN,Decreasing,,600,1800,1200
Anura,Aromobatidae,Ectopoglossus,isthminus,21.3,22.6,22.6,,,,,,,,,Semi-aquatic,South America,EN,Decreasing,,810,810,810
Anura,Aromobatidae,Ectopoglossus,lacrimosus,15.8,19.6,19.6,,,,,,Larval,,,Terrestrial,South America,VU,Decreasing,2206.3044930200000000,100,640,370
Anura,Aromobatidae,Mannophryne,caquetio,,,30.8,,,,,,Larval,,Diurnal,Terrestrial,South America,EN,Decreasing,75.7835351559000000,800,800,800
Anura,Aromobatidae,Mannophryne,collaris,27,32,32,,Terrestrial,9,19,14,Larval,,,Semi-aquatic,South America,EN,Decreasing,1084.4324186900000000,200,1800,1000
Anura,Aromobatidae,Mannophryne,cordilleriana,,,,,Terrestrial,,,,Larval,,,Semi-aquatic,South America,CR,Stable,83.5739223481000000,1300,1950,1625
Anura,Aromobatidae,Mannophryne,herminae,24,29,29,,Terrestrial,4,15,9.5,Larval,,Diurnal,Terrestrial,South America,NT,Stable,8746.7622336300000000,30,1610,820
Anura,Aromobatidae,Mannophryne,lamarcai,,,30.8,,,10,10,10,Larval,,Diurnal,Semi-aquatic,South America,EN,,45.1002517843000000,1040,1460,1250
Anura,Aromobatidae,Mannophryne,larandina,,,31,,Terrestrial,,,,Larval,,,Semi-aquatic,South America,DD,,4.8339638532400000,1800,1800,1800
Anura,Aromobatidae,Mannophryne,leonardoi,,,24.2,,,,,,Larval,,,Terrestrial,South America,NT,Stable,8604.2456645000000000,0,1650,825
Anura,Aromobatidae,Mannophryne,molinai,23.4,25.5,25.5,,,,,,Larval,,Diurnal,Semi-aquatic,South America,EN,Decreasing,,1180,1180,1180
Anura,Aromobatidae,Mannophryne,neblina,,,28.9,,,,,,Larval,,,Terrestrial,South America,CR,Decreasing,86.8355832165000000,900,1100,1000
Anura,Aromobatidae,Mannophryne,oblitterata,,,37.43,,Terrestrial,,,,Larval,,,Terrestrial,South America,NT,Stable,1528.3763852300000000,150,736,443
Anura,Aromobatidae,Mannophryne,olmonae,21,21.6,21.6,,Terrestrial,12,12,12,Larval,,Diurnal,Terrestrial,Tobago Island,VU,Stable,137.5701782250000000,30,490,260
Anura,Aromobatidae,Mannophryne,orellana,,,32.9,,,,,,,,Diurnal,Semi-aquatic,South America,EN,Stable,,482,1192,837
Anura,Aromobatidae,Mannophryne,riveroi,,,46.2,,Terrestrial,,,,Larval,,,Semi-aquatic,South America,EN,,880.8293624460000000,400,1000,700
